"110","Alpha-Bits, PostTM","250mL","34","139","580","2","30","14","1.1","1","0.2","0","3","4.5","126","21","24","74","0.7","0","2.0","41"
"111","Bran Flakes, PostTM","250mL","53","185","776","5","41","9","7.4","1","0.2","0","24","7.0","302","253","121","276","1.1","0.08","3.5","64"
"112","Cap’n Crunch, QuakerTM","175mL","27","108","452","1","23","10","0.7","1","1.1","0","0","3.6","213","30","11","22","0.5","0","1.3","32"
"113","Cheerios, Honey Nut, General MillsTM","250mL","35","134","561","3","28","12","2.1","1",,"0","128","4.7","252","99","38","115","0","0.06","1.6","41"
"114","Cheerios, regular General MillsTM","250mL","24","95","396","3","18","1","2.2","2",,"0","44","3.2","219","78","32","105","0","0.04","1.1","28"
"115","Cinnamon Toast Crunch, General MillsTM","175mL","28","123","514","1","22","9","1.0","3",,"0","103","3.8","193","41","12","93","0","0.01","1.3","33"
"116","Corn Bran, QuakerTM","250mL","38","124","520","3","30","8","6.1","2","0.8","0","0","5.0","349","91",,"42","0.8","0.02","1.7","45"
"117","Corn Flakes, Kellogg’sTM","250mL","26","103","430","2","23","2","0.7","0","0","0","1","3.5","190","28","2","12","0.5","0.71","1.6","32"
"118","Corn Pops, Kellogg’sTM","250mL","33","130","544","1","30","12","0.4","0","0","0","2","4.4","192","26","3","13","0.7","0.01","1.8","40"
"119","Fibre 1, General MillsTM","125mL","30","79","329","3","24","0","14.1","1","0.1","0","110","4.1","130","239","68","188","0.1","0.06","1.4","36"
"120","Froot Loops, Kellogg’sTM","250mL","30","116","485","1","26","14","0.6","1",,"0","3","3.9","121","30","7","31","0.6","0.02","1.7","36"
"121","Frosted Flakes, Kellogg’sTM","250mL","37","142","595","2","33","15","0.6","0","0","0","1","4.9","196","28","2","9","0.7","0.67","2.1","45"
"122","Fruit & Fibre, Dates/Raisins/Walnuts, PostTM","125mL","29","93","389","3","22","7","4.3","1",,"0","16","3.9","134","145","55","126","0.6","0.05","1.9","35"
"127","Granola with Raisins, low fat, Kellogg’sTM","125mL","59","226","944","5","46","17","3.5","3",,"0","24","7.8","147","173","47","135","1.2","0.14","3.7","71"
"128","Granola with Raisins, RogersTM","125mL","59","245","1023","5","41",,"5.3","8",,"0","28","1.9","95","198",,"157","0.4","0.06","1.8",
"129","Grape-Nuts, PostTM","125mL","58","208","872","6","46","5","6.0","1",,"0","24","2.0","348","253","59","241","0.2","0.09","4.5","68"
"130","Harvest Crunch, regular, QuakerTM","125mL","47","218","911","5","31","12","3.3","9","6.7","1","51","1.1","45","226",,,"0.1","0.07","1.5","14"
"131","Honeycomb, PostTM","250mL","23","92","384","1","21","8","0.2","0",,"0","8","3.7","93","46","7","36","0.5","0","1.4","28"
"132","Just Right, Kellogg’sTM","250mL","45","172","720","4","38","10","2.2","1",,"0","11","6.0","250","105","28","93","0.9","0.10","2.9","55"
"133","Life, QuakerTM","175mL","33","124","518","5","23","7","2.9","2","0.3","0","24","4.3","195","188","10","160","0.6","0.03","1.5","19"
"134","Lucky Charms, General MillsTM","250mL","34","132","550","2","28","15","1.7","1",,"0","124","4.6","227","64","28","87","0","0.02","1.6","40"
"135","Mini-Wheats with White Frosting, Kellogg’sTM","175mL","35","121","505","3","29","3","3.6","1",,"0","14","4.7","4","135","31","102","0.7","0.02","2.3","42"
